,Title,NSE,Strength,Weakness,Oppurtunity,Threat
376,REC,RECLTD,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing Revenue every Quarter for the past 4 Quarters', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Companies with High Debt', 'Companies with Increasing Debt', 'Low Piotroski Score : Companies with weak financials']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",None
377,Redington,REDINGTON,"['Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years']","['MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['Stock with Low PE (PE < = 10)'],"['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
378,Relaxo Footwear,RELAXO,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Degrowth in Revenue and Profit']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
379,Reliance,RELIANCE,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company reducing Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit (YoY)', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Hanging Man (Bearish Reversal)']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout Third Resistance ( LTP > R3)', 'Highest Recovery from 52 Week Low']",None
380,Repco Home,REPCOHOME,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company reducing Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']",['Red Flag: High Interest Payments Compared to Earnings'],"['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)']",['Increasing Trend in Non-Core Income']
381,RITES,RITES,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'High dividends, with rising dividend yields over last five years']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit (YoY)', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Declining Revenue every quarter for the past 3 quarters', 'Declining profits every quarter for the past 3 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Brokers upgraded recommendation or target price in the past three months'],"['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
382,S H Kelkar,SHK,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Increasing profits every quarter for the past 2 quarters', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'RSI indicating price strength']","['Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
383,SAIL,SAIL,"['Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['RSI indicating price strength'],"['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
384,Sanofi India,SANOFI,"['High Piotroski Score - Companies with strong financials', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'High dividends, with rising dividend yields over last five years']","['MFs decreased their shareholding last quarter', 'Decline in Net Profit (QoQ)', 'Declining Revenue every quarter for the past 3 quarters', 'Hanging Man (Bearish Reversal)']",['Brokers upgraded recommendation or target price in the past three months'],['Stocks with high PE (PE > 40)']
385,SBI,SBIN,"['Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Increasing Revenue every quarter for the past 2 quarters', 'Increasing profits every quarter for the past 2 quarters', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Increasing Trend in Non-Core Income', 'Increase in NPA in Recent Results']"
386,SBI Life Insura,SBILIFE,"['Rising Net Cash Flow and Cash from Operating activity', 'Company with high TTM EPS Growth', 'Good quarterly growth in the recent results', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Negative Breakdown First Support (LTP < S1)', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters']","['Brokers upgraded recommendation or target price in the past three months', 'Decrease in Provision in recent results']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
387,Schaeffler Ind,SCHAEFFLER,"['Strong QoQ EPS Growth in recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit']","['Turnaround companies- loss to profit QoQ', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
388,Schneider Infra,SCHNEIDER,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Book Value Per Share deteriorating for last 2 years', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Stock with Low PE (PE < = 10)'],"['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)']"
389,Sheela Foam,SFL,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'Promoter holding decreased by more than -2% QoQ', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Promoter decreasing their shareholding', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",None,None
390,Shilpa,SHILPAMED,"['Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge']","['Companies with growing costs YoY for long term projects', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Promoter decreasing their shareholding', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Weak performer : Stock lost more than 20% in 1 month', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE']",['Increasing Trend in Non-Core Income']
391,Shipping Corp,SCI,"['High Piotroski Score - Companies with strong financials', 'Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Bullish Harami  (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Company with Zero Promoter Pledge', 'Companies with rising net profit margins - quarterly as well as TTM basis']","['Big Deal (Insider and SAST) sells last month greater than 1% of total shares', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Positive Breakout First Resistance ( LTP > R1)', 'Stock with Low PE (PE < = 10)']",None
392,Shoppers Stop,SHOPERSTOP,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Big Deal (Insider and SAST) buys last month greater than 1% of total shares', 'Big Deal (Insider and SAST) buys last week greater than 1% of total shares', 'Brokers upgraded recommendation or target price in the past three months', 'Stock with Low PE (PE < = 10)', 'Insiders bought stocks']",['Insiders sold stocks']
393,Shree Cements,SHREECEM,"['Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Decline in Quarterly Net Profit (YoY)', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'RSI indicating price strength']","['Recent Broker Downgrades in Reco or Target Price', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
394,Shriram City,SHRIRAMCIT,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Strong QoQ EPS Growth in recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with Increasing Debt', 'Low Piotroski Score : Companies with weak financials', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",['Increasing Trend in Non-Core Income']
395,Shriram Trans,SRTRANSFIN,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Strong QoQ EPS Growth in recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Low Piotroski Score : Companies with weak financials']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",None
396,Siemens,SIEMENS,"['High Piotroski Score - Companies with strong financials', 'Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Company with No Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Big Deal (Insider and SAST) buys last month greater than 1% of total shares', 'RSI indicating price strength']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
397,SIS,SIS,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Increasing profits every quarter for the past 2 quarters', 'Annual Net Profits improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Declining Net Cash Flow and Cash from Operating Activity for last 2 years', 'Declining Revenue every quarter for the past 2 quarters', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']",['RSI indicating price strength'],"['Companies where promoters have increased their pledged stocks', 'Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income']"
398,SJVN,SJVN,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Stock with Low PE (PE < = 10)']",None
399,SKF India,SKFINDIA,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'Company with Zero Promoter Pledge', 'High dividends, with rising dividend yields over last five years']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Turnaround companies- loss to profit QoQ']",None
400,Sobha,SOBHA,"['MACD Crossover Above Signal Line', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",['Increasing Trend in Non-Core Income']
401,Solar Ind,SOLARINDS,"['Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price']",None
402,Somany Ceramics,SOMANYCERA,"['Promoters increasing shareholding QoQ', 'Promoter holding increased more than 2% QoQ', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit']","['Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength', 'High Volume, High Gain']",None
403,Sonata,SONATSOFTW,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'High dividends, with rising dividend yields over last five years']","['Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 2 quarters', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low']",None
404,South Ind Bk,SOUTHBANK,['Book Value per share Improving for last 2 years'],"['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Decrease in NPA in recent results'],"['Recent Broker Downgrades in Reco or Target Price', 'Increase in Provisions in Recent Results']"
405,SpiceJet,SPICEJET,"['Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Promoter decreasing their shareholding', 'Low Piotroski Score : Companies with weak financials', 'Annual net profit declining for last 2 years', 'Companies with High Promoter Pledge', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Brokers upgraded recommendation or target price in the past three months', 'Stock with Low PE (PE < = 10)']",['Increasing Trend in Non-Core Income']
406,SRF,SRF,"['MACD Crossover Above Signal Line', 'Strong QoQ EPS Growth in recent results', 'New 52 Week High', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company reducing Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'High Volume, High Gain']",None
407,Star Cement,STARCEMENT,"['Promoters increasing shareholding QoQ', 'Company with Low Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Annual net profit declining for last 2 years', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Positive Breakout First Resistance ( LTP > R1)', 'Street Favorite: High Analyst Rating with at least 20% upside']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
